"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
522.49,416.82,0.02,105.67,71.35,345.43,52.88,29.97,2.02,17.74,37.38,14.21,0.04,263.89,81.54,0.18,0.16,36.51,16.37,22.8,0,32.45,2.48
532.57,417.57,0.07,115,65.37,352.09,51.78,39.08,1.93,11.92,35.5,16.02,0.11,271.02,81.07,0.23,0.16,34.64,17.14,23.81,0.26,40.34,1.26
539.51,416.92,0.05,122.59,58.64,358.24,44.18,37.95,1.91,10.74,30.91,15.08,0.04,277,81.24,0.25,0.2,30.01,14.17,40.14,0.27,39.35,1.4
547.2,396.89,0.12,150.31,43.68,353.16,54.77,24.01,1.91,8.24,25.02,8.51,0.05,269.84,83.32,0.27,0.15,37.07,17.7,71.2,0.21,26.71,2.7
534.79,389.94,0.02,144.85,39.04,350.9,60.31,16.43,2,6.24,26.87,3.93,0,262.27,88.63,0.18,0.16,41.41,18.9,67.47,0.62,20.72,4.29
502.33,369.96,0,132.37,32.65,337.3,49.62,11.93,1.93,3.46,24.26,3,0.01,256.4,80.9,0.21,0.21,32.92,16.7,70.08,0.74,16.87,4.94
488.76,382.25,0.06,106.51,47.72,334.52,58.98,8.28,1.87,7.67,29.92,8.26,0.01,256.6,77.92,0.17,0.11,38.59,20.39,38.41,0.78,16.49,8.21
528.85,416.13,0.04,112.72,62.68,353.44,59.52,26.22,1.96,12.55,33.16,15.01,0.01,267.74,85.7,0.19,0.15,40.83,18.69,26.13,0.81,28.43,2.21
530.1,420.64,0.05,109.46,70.76,349.86,62.34,28.76,2.04,15.01,38,15.71,0.02,263.85,86.01,0.2,0.15,43.01,19.33,17.03,1.28,31.12,2.36
538.28,417.7,0.03,120.58,66.69,351.01,64.25,33.87,2,13.96,35.74,14.99,0,265.95,85.06,0.16,0.13,44.73,19.52,21.08,1.35,36.2,2.33
553.17,398.73,0,154.44,54.38,344.35,61.43,29.21,1.97,11.26,32.71,8.44,0,259.02,85.33,0.2,0.2,44.14,17.29,62.75,1.05,31.14,1.93
544.55,388.91,-0.06,155.64,42.33,346.58,50.24,21.41,1.98,12.77,22.87,4.71,0,261.05,85.53,0.12,0.18,35.92,14.32,83.01,1.04,23.39,1.98
503.96,352.06,0,151.9,37.94,314.11,55.38,11.55,1.99,4.87,24.27,6.81,0.01,232.15,81.96,0.17,0.17,39.89,15.49,84.16,0.81,16.53,4.98
491.22,379.52,0.02,111.7,47.51,332.01,55.95,15.07,2.08,5.41,28.54,11.48,0,246.8,85.21,0.14,0.12,39.17,16.78,39.27,1.39,20.25,5.18
533.7,427.45,0.02,106.25,72.59,354.86,57.3,29.93,1.98,11.53,40.03,19.05,0,262.53,92.33,0.15,0.13,40.82,16.48,17.75,1.25,30.81,0.88
544.15,409.94,0.05,134.21,63.6,346.01,61.97,32.54,2.13,17.96,29.77,13.74,0.33,251.42,94.59,0.16,0.11,45.01,16.96,38.44,1.21,33.75,1.21
551.4,432.55,0.03,118.85,82.47,349.64,50.89,39.95,1.96,22.43,39.95,18.13,0.44,247.96,101.68,0.2,0.17,36.5,14.39,26.62,1.36,39.95,0
576.6,407.3,0.06,169.3,59.12,348.03,57.82,38.08,2.12,18.63,29.14,9.23,0.15,249.01,99.02,0.27,0.21,42.16,15.66,72.38,0.96,39.5,1.42
569.41,416.25,0,153.16,61.12,355.06,50.62,34.12,2.17,17.47,32.68,8.8,0.07,256.14,98.92,0.22,0.22,34.14,16.48,67.42,1,34.93,0.81
505.02,399.76,0.12,105.26,54.8,344.96,42.72,21.54,1.72,11.48,30.24,11.36,0,260.14,84.82,0.26,0.14,28.65,14.07,39.88,1,24.23,2.69
493.9,380.35,0.03,113.55,46.75,333.6,44.5,21.06,1.53,10.7,27.04,7.48,0,251.18,82.42,0.26,0.23,31.33,13.17,47.44,0.52,24.15,3.09
537.92,391.54,0.06,146.38,47.68,343.84,51.42,31.91,1.5,9.78,27.45,8.95,0.02,268.72,75.12,0.24,0.18,35.1,16.32,62.22,0.77,32.8,0.89
522.89,394.48,0,128.41,44.25,350.2,63.63,22.4,1.32,5.82,29.49,7.62,0.03,267.61,82.59,0.19,0.19,43.39,20.24,41.51,0.87,26.32,3.92
